file,cv,transition,active_roles_delta,added_roles,removed_roles,notes_per_bar_delta,velocity_p50_delta,fine_subdivision_delta,polyphony_delta
Factory Styles/Acoustic Bld_3_4.mid,2,V3->V4,1,"[""ACC2"",""ACC4""]","[""ACC1""]",21.0,11.0,0.0,-0.28310645517676747
Factory Styles/Al Funk.mid,1,V1->V2,0,"[""ACC4""]","[""PERC""]",7.75,6.0,0.022490041820924175,0.08367514740161819
Factory Styles/Al Funk.mid,1,V2->V3,0,"[""ACC2""]","[""ACC4""]",41.0,5.0,-0.031035127291009643,0.3889239978975272
Factory Styles/Al Funk.mid,1,V3->V4,3,"[""ACC4"",""ACC5"",""PERC""]",[],16.5,1.0,0.08602441216257764,0.20437212291705098
Factory Styles/Al Funk.mid,2,V1->V2,1,"[""ACC4""]",[],16.0,-2.0,0.0345819616519174,0.378379215557741
Factory Styles/Al Funk.mid,2,V2->V3,0,"[""ACC2""]","[""ACC4""]",34.75,12.0,-0.031180135167899137,0.24817400581888682
Factory Styles/Al Funk.mid,2,V3->V4,3,"[""ACC4"",""ACC5"",""PERC""]",[],14.0,0.0,0.05884048547164286,0.2721886210913351
Factory Styles/Al Funk.mid,3,V1->V2,1,"[""ACC4""]",[],28.5,-2.0,0.024832365591397853,-0.09884544802867379
Factory Styles/Al Funk.mid,3,V2->V3,0,"[""ACC2""]","[""ACC4""]",39.5,8.0,-0.02470524888659236,0.41902590569457776
Factory Styles/Al Funk.mid,3,V3->V4,3,"[""ACC4"",""ACC5"",""PERC""]",[],0.875,-3.0,0.09066077205796409,0.21517545606848887
Factory Styles/Al Funk.mid,4,V3->V4,3,"[""ACC4"",""ACC5"",""PERC""]",[],-10.25,-2.0,0.12342405380083069,-0.04625694610257902
Factory Styles/Al Swing.mid,1,V1->V2,0,[],[],20.0,-10.0,0.09460036640898015,-0.017526984362314035
Factory Styles/Al Swing.mid,1,V2->V3,2,"[""ACC3"",""ACC4""]",[],2.75,7.0,0.018885171654929644,0.0786324777833669
Factory Styles/Al Swing.mid,1,V3->V4,1,"[""ACC5""]",[],19.25,-3.0,-0.02937963143687705,-0.06317888911960146
Factory Styles/Al Swing.mid,2,V1->V2,0,[],[],20.0,-11.0,0.10274376686805833,-0.01850025614123929
Factory Styles/Al Swing.mid,2,V2->V3,2,"[""ACC3"",""ACC4""]",[],2.75,6.5,0.01959885743563472,0.0792836211092609
Factory Styles/Al Swing.mid,2,V3->V4,1,"[""ACC5""]",[],19.25,-1.5,-0.02024554370423942,-0.06406676127632638
Factory Styles/Alpen Ballade.mid,1,V1->V2,0,[],[],25.5,4.0,0.06443276847079038,0.18083198754295537
Factory Styles/Alpen Ballade.mid,1,V2->V3,0,[],[],49.5,5.0,0.021463721913825007,0.19302854771345457
Factory Styles/Alpen Ballade.mid,1,V3->V4,0,[],[],37.0,4.0,0.014676936339522495,0.06933130238726815
Factory Styles/Alpen Rock.mid,1,V1->V2,0,[],[],1.5,3.0,0.1886700944895796,-0.1963526805898972
Factory Styles/Alpen Rock.mid,1,V2->V3,1,"[""ACC5""]",[],13.0,1.0,-0.015153097279716088,0.02689946703134205
Factory Styles/Alpen Rock.mid,1,V3->V4,0,[],[],21.5,0.0,-0.054654532513091686,0.2592281511515586
Factory Styles/AM _ PM.mid,1,V1->V2,1,"[""DRUM""]",[],10.5,13.0,0.0,0.07207658450704235
Factory Styles/AM _ PM.mid,1,V2->V3,0,[],[],13.0,-7.0,0.01694915254237288,0.019900296610169566
Factory Styles/AM _ PM.mid,1,V3->V4,1,"[""ACC5""]",[],40.5,20.0,-0.01694915254237288,0.9900373290179716
Factory Styles/Analog Ballad 1.mid,1,V1->V2,1,"[""ACC3""]",[],9.0,-12.0,0.0,-0.10430587706146932
Factory Styles/Analog Ballad 1.mid,1,V2->V3,2,"[""ACC4"",""ACC5""]",[],21.5,-2.0,0.0,0.2493103430592396
Factory Styles/Analog Ballad 1.mid,1,V3->V4,-1,[],"[""ACC5""]",92.5,-16.0,0.3428571111111111,0.6972833186813188
Factory Styles/Analog Ballad 1.mid,2,V1->V2,1,"[""ACC3""]",[],10.0,-7.0,0.0,-0.08042855560983542
Factory Styles/Analog Ballad 1.mid,2,V2->V3,2,"[""ACC4"",""ACC5""]",[],18.5,0.0,0.04761730158730158,0.2142953879079721
Factory Styles/Analog Ballad 1.mid,2,V3->V4,-1,[],"[""ACC5""]",94.5,-22.0,0.2952398095238095,0.7084209523809524
Factory Styles/Analog Ballad 2.mid,1,V1->V2,1,"[""ACC4"",""DRUM""]","[""ACC2""]",16.5,5.0,0.02747274725274725,-0.09946806366047745
Factory Styles/Analog Ballad 2.mid,1,V2->V3,1,"[""ACC2""]",[],41.0,-2.0,-0.02169147557644667,0.42434062694530894
Factory Styles/Analog Ballad 2.mid,1,V3->V4,0,[],[],12.25,2.0,-0.005781271676300579,0.7988055074266485
Factory Styles/Analog Beat 1.mid,1,V1->V2,3,"[""ACC3"",""ACC4"",""DRUM""]",[],13.75,-3.0,0.0,0.22498008411677395
Factory Styles/Analog Beat 1.mid,1,V2->V3,1,"[""ACC5""]",[],36.5,0.0,0.0,0.020795250945214505
Factory Styles/Analog Beat 1.mid,1,V3->V4,0,[],[],68.0,-4.0,0.003577674418604651,0.7596521067984767
Factory Styles/Analog Beat 1.mid,2,V1->V2,2,"[""ACC3"",""DRUM""]",[],7.0,0.0,0.0,-0.02822338983050865
Factory Styles/Analog Beat 1.mid,2,V2->V3,1,"[""ACC5""]",[],48.25,-2.0,0.003215434083601286,0.2483805924028557
Factory Styles/Analog Beat 2.mid,1,V1->V2,1,"[""ACC3""]",[],8.0,-7.0,0.0,-0.15637216117216113
Factory Styles/Analog Beat 2.mid,1,V2->V3,1,"[""ACC5""]",[],28.5,4.0,0.0,0.7666918458568459
Factory Styles/Analog Beat 2.mid,1,V3->V4,2,"[""ACC2"",""ACC4""]",[],31.5,11.0,0.0,0.19411639746381448
Factory Styles/Analog Beat 2.mid,2,V1->V2,1,"[""ACC3""]",[],8.0,-7.0,0.0,-0.08135384615384633
Factory Styles/Analog Beat 2.mid,2,V2->V3,1,"[""ACC5""]",[],28.5,4.0,0.0,0.9021239812889812
Factory Styles/Analog Beat 2.mid,2,V3->V4,2,"[""ACC2"",""ACC4""]",[],31.5,10.0,0.0,0.2586738459075191
Factory Styles/Argentina Tango.mid,1,V1->V2,3,"[""ACC1"",""ACC3"",""ACC5""]",[],26.125,-18.0,-0.03437345410628019,0.7968378530286142
Factory Styles/Argentina Tango.mid,1,V2->V3,0,[],[],12.5,20.0,0.06290802325581395,-0.8329003920691715
Factory Styles/Argentina Tango.mid,1,V3->V4,0,[],[],0.0,7.0,-0.03100511627906974,0.4334781395348839
Factory Styles/Argentina Tango.mid,2,V2->V3,1,"[""ACC5""]",[],2.5,0.0,0.24999975000000002,-1.1341440303030306
Factory Styles/Army Band.mid,1,V1->V2,3,"[""ACC3"",""ACC4"",""ACC5""]",[],-1.0,8.0,-0.044604945054945055,-0.29310776320453735
Factory Styles/Army Band.mid,1,V2->V3,0,[],[],47.0,28.0,-0.23798610899910905,0.48321590792990765
Factory Styles/Army Band.mid,1,V3->V4,1,"[""PERC""]",[],12.5,19.0,0.0812084588159589,0.32422839060489084
Factory Styles/Army Band.mid,2,V1->V2,3,"[""ACC3"",""ACC4"",""ACC5""]",[],-0.5,16.5,-0.04744839139539314,-0.05876929564058608
Factory Styles/Army Band.mid,2,V2->V3,0,[],[],65.25,34.5,-0.08586458950031628,0.43227244022770384
Factory Styles/Army Band.mid,2,V3->V4,1,"[""PERC""]",[],-3.25,6.0,-0.00033322066799879035,0.3349657850889711
Factory Styles/Army Band.mid,3,V1->V2,3,"[""ACC3"",""ACC4"",""ACC5""]",[],1.75,23.0,-0.01369567814371253,0.2771117934131735
Factory Styles/Army Band.mid,3,V2->V3,0,[],[],49.25,21.0,-0.16748349493321057,0.6238729153780351
Factory Styles/Army Band.mid,3,V3->V4,1,"[""PERC""]",[],6.0,18.0,0.07641091792228394,0.2973675798685851
Factory Styles/Ballad 6_8 1.mid,1,V1->V2,1,"[""ACC1""]",[],4.625,2.0,0.10167642327235776,-0.06327939735772325
Factory Styles/Ballad 6_8 1.mid,1,V2->V3,0,[],[],2.375,8.0,-0.010928070181564276,-0.03113738058659221
Factory Styles/Ballad 6_8 1.mid,1,V3->V4,0,[],[],16.125,-6.0,-0.005225013422331837,-0.1836661372705506
Factory Styles/Ballad 6_8 1.mid,2,V1->V2,1,"[""ACC1""]",[],4.625,2.0,0.10167642327235776,-0.06327939735772325
Factory Styles/Ballad 6_8 1.mid,2,V2->V3,0,[],[],2.625,8.0,-0.015433717886740306,0.006554232734806709
Factory Styles/Ballad 6_8 1.mid,2,V3->V4,0,[],[],15.875,-6.0,-0.0007193657171558065,-0.2213577505919495
