msb,lsb,program,sound,styles,roles,elements,counts,cc_thresholds,pitchbend,aftertouch,nrpn,rpn
121,2,65,Sax Ensemble,5,"[[""ACC2"",1384],[""ACC4"",1088],[""ACC5"",441]]","[[""Ending 1"",733],[""Variation 4"",650],[""Intro 1"",508],[""Variation 3"",418],[""Ending 2"",201],[""Ending 3"",121],[""Fill 2"",104],[""Intro 2"",64],[""Variation 2"",52],[""Fill 1"",31],[""Break"",18],[""Intro 3"",13]]","{""cc:11"":41,""cc:7"":41,""cc:0"":41,""cc:32"":41,""cc:22"":81,""cc:1"":22,""pb"":142}","{""1"":{""n"":22,""ge64"":0,""zero"":1,""max"":21}}","{""n"":142,""nonzero"":132,""positive"":0,""negative"":132,""zero"":10,""max_abs"":4864,""summary"":{""min"":-4864.0,""p01"":-4706.97,""p05"":-4473.6,""p10"":-4096.0,""p25"":-3680.0,""p50"":-2048.0,""p75"":-768.0,""p90"":-128.0,""p95"":0.0,""p99"":0.0,""max"":0.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,3,,,124,"[[""ACC1"",147],[""BASS"",93],[""ACC3"",54],[""ACC2"",43],[""ACC4"",37],[""ACC5"",26],[""PERC"",8]]","[[""Variation 1"",211],[""Intro 1"",58],[""Variation 2"",53],[""Variation 3"",46],[""Variation 4"",36],[""Ending 1"",2],[""Break"",1],[""Fill 2"",1]]","{""cc:32"":408}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,5,28,Stra. Chime,2,"[[""ACC4"",3686]]","[[""Variation 4"",1750],[""Ending 1"",480],[""Intro 1"",372],[""Ending 2"",232],[""Variation 3"",164],[""Ending 3"",136],[""Fill 2"",120],[""Intro 2"",115],[""Variation 2"",112],[""Fill 1"",101],[""Variation 1"",96],[""Intro 3"",4],[""Break"",4]]","{""cc:11"":30,""cc:7"":30,""cc:0"":30,""cc:32"":30,""cc:22"":12,""cc:1"":276}","{""1"":{""n"":276,""ge64"":102,""zero"":12,""max"":125}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,6,27,Single Coil,5,"[[""ACC3"",2549],[""ACC4"",990],[""ACC1"",636],[""ACC5"",198]]","[[""Variation 4"",2396],[""Ending 1"",641],[""Intro 1"",375],[""Fill 2"",263],[""Ending 3"",196],[""Variation 3"",160],[""Break"",134],[""Fill 1"",125],[""Ending 2"",65],[""Intro 2"",9],[""Intro 3"",9]]","{""cc:11"":31,""cc:7"":31,""cc:0"":31,""cc:32"":22,""cc:22"":64,""pb"":118,""cc:1"":110}","{""1"":{""n"":110,""ge64"":27,""zero"":11,""max"":104}}","{""n"":118,""nonzero"":104,""positive"":95,""negative"":9,""zero"":14,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-6171.52,""p05"":-1990.4,""p10"":0.0,""p25"":694.25,""p50"":3449.0,""p75"":5951.0,""p90"":7282.2,""p95"":7800.6,""p99"":8191.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,0,3,Honky-Tonk GM,2,"[[""ACC1"",4107]]","[[""Variation 4"",1164],[""Variation 3"",1154],[""Intro 1"",576],[""Ending 1"",569],[""Ending 2"",231],[""Fill 2"",137],[""Intro 2"",94],[""Ending 3"",87],[""Fill 1"",67],[""Break"",23],[""Intro 3"",5]]","{""cc:11"":22,""cc:7"":22,""cc:0"":22,""cc:32"":22,""cc:22"":24,""cc:64"":12,""pb"":133,""cc:1"":134}","{""1"":{""n"":134,""ge64"":69,""zero"":4,""max"":127},""64"":{""n"":12,""ge64"":4,""zero"":8,""max"":127}}","{""n"":133,""nonzero"":128,""positive"":1,""negative"":127,""zero"":5,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8065.0,""p05"":-7603.2,""p10"":-7142.6,""p25"":-5693.0,""p50"":-3712.0,""p75"":-1665.0,""p90"":-436.2,""p95"":-1.0,""p99"":0.0,""max"":277.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,0,12,Marimba GM,7,"[[""ACC5"",5489],[""ACC4"",4757]]","[[""Variation 1"",2482],[""Variation 4"",1620],[""Intro 1"",1384],[""Ending 1"",1143],[""Variation 3"",968],[""Ending 2"",671],[""Variation 2"",564],[""Intro 2"",442],[""Ending 3"",373],[""Fill 2"",313],[""Fill 1"",146],[""Break"",119],[""Intro 3"",21]]","{""cc:11"":78,""cc:7"":78,""cc:0"":78,""cc:32"":78,""cc:22"":77}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,5,0,Jazz Piano,7,"[[""ACC1"",4603],[""ACC2"",684]]","[[""Ending 1"",1715],[""Variation 4"",605],[""Variation 2"",592],[""Variation 3"",534],[""Intro 1"",489],[""Ending 2"",442],[""Variation 1"",372],[""Ending 3"",159],[""Fill 2"",116],[""Intro 2"",107],[""Fill 1"",74],[""Break"",72],[""Intro 3"",10]]","{""cc:11"":72,""cc:7"":72,""cc:0"":72,""cc:32"":66,""cc:22"":53,""cc:64"":38,""cc:8"":2,""cc:67"":2,""cc:100"":1,""cc:103"":1,""cc:6"":1,""cc:66"":1,""pb"":2}","{""64"":{""n"":38,""ge64"":19,""zero"":19,""max"":127}}","{""n"":2,""nonzero"":1,""positive"":1,""negative"":0,""zero"":1,""max_abs"":62,""summary"":{""min"":0.0,""p01"":0.62,""p05"":3.1,""p10"":6.2,""p25"":15.5,""p50"":31.0,""p75"":46.5,""p90"":55.8,""p95"":58.9,""p99"":61.38,""max"":62.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,18,4,Tine E.Piano RX,13,"[[""ACC1"",7036],[""ACC4"",178],[""ACC5"",15]]","[[""Ending 1"",2457],[""Variation 4"",921],[""Intro 1"",879],[""Variation 2"",781],[""Variation 3"",654],[""Variation 1"",594],[""Ending 2"",262],[""Ending 3"",185],[""Fill 2"",147],[""Fill 1"",134],[""Intro 2"",127],[""Break"",79],[""Intro 3"",9]]","{""cc:11"":85,""cc:7"":85,""cc:0"":85,""cc:32"":55,""cc:22"":61,""cc:64"":10}","{""64"":{""n"":10,""ge64"":5,""zero"":5,""max"":127}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,1,0,Ac. Piano Wide,5,"[[""ACC1"",4357],[""ACC5"",1885]]","[[""Variation 2"",1104],[""Intro 1"",1091],[""Variation 4"",1064],[""Variation 1"",978],[""Variation 3"",946],[""Ending 1"",579],[""Ending 2"",154],[""Fill 2"",92],[""Intro 2"",78],[""Ending 3"",67],[""Fill 1"",57],[""Break"",21],[""Intro 3"",11]]","{""cc:64"":38,""cc:11"":64,""cc:7"":64,""cc:0"":64,""cc:22"":60,""cc:32"":62,""pb"":20,""cc:1"":6}","{""1"":{""n"":6,""ge64"":3,""zero"":1,""max"":127},""64"":{""n"":38,""ge64"":18,""zero"":20,""max"":127}}","{""n"":20,""nonzero"":18,""positive"":0,""negative"":18,""zero"":2,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-8192.0,""p10"":-7962.5,""p25"":-7137.0,""p50"":-4544.5,""p75"":-1249.0,""p90"":-115.2,""p95"":0.0,""p99"":0.0,""max"":0.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,23,61,Sforzato Brass,8,"[[""ACC2"",2552],[""ACC4"",1105],[""ACC5"",1062],[""ACC3"",466]]","[[""Variation 1"",1406],[""Ending 1"",1056],[""Intro 1"",927],[""Variation 4"",378],[""Variation 3"",309],[""Ending 2"",211],[""Intro 2"",195],[""Fill 1"",182],[""Ending 3"",177],[""Fill 2"",139],[""Variation 2"",128],[""Break"",61],[""Intro 3"",16]]","{""cc:11"":69,""cc:7"":69,""cc:0"":69,""cc:32"":64,""cc:22"":96,""pb"":6}",{},"{""n"":6,""nonzero"":4,""positive"":1,""negative"":3,""zero"":2,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8186.6,""p05"":-8165.0,""p10"":-8138.0,""p25"":-7721.0,""p50"":-3316.0,""p75"":0.0,""p90"":64.0,""p95"":96.0,""p99"":121.6,""max"":128.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,4,35,Dark R&B Bass1,6,"[[""BASS"",3021]]","[[""Ending 1"",629],[""Intro 1"",582],[""Variation 4"",378],[""Variation 2"",300],[""Ending 2"",289],[""Variation 1"",268],[""Variation 3"",184],[""Fill 1"",91],[""Ending 3"",90],[""Fill 2"",88],[""Break"",56],[""Intro 2"",38],[""Intro 3"",28]]","{""cc:11"":77,""cc:7"":77,""cc:0"":77,""cc:32"":77,""cc:22"":58,""cc:64"":3}","{""64"":{""n"":3,""ge64"":0,""zero"":3,""max"":0}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,0,Standard Kit GM,6,"[[""DRUM"",8453],[""PERC"",297]]","[[""Variation 3"",2074],[""Ending 1"",1842],[""Variation 4"",1157],[""Intro 1"",838],[""Variation 2"",792],[""Intro 2"",530],[""Variation 1"",426],[""Fill 1"",310],[""Fill 2"",292],[""Ending 2"",160],[""Ending 3"",143],[""Break"",103],[""Intro 3"",83]]","{""cc:11"":71,""cc:7"":71,""cc:0"":71,""cc:32"":71,""cc:22"":82}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,31,27,Real El. Guitar2,1,"[[""ACC4"",4263]]","[[""Ending 1"",1137],[""Variation 1"",766],[""Variation 2"",585],[""Ending 2"",500],[""Intro 1"",333],[""Variation 4"",297],[""Variation 3"",263],[""Ending 3"",162],[""Intro 2"",108],[""Fill 2"",42],[""Break"",34],[""Intro 3"",18],[""Fill 1"",18]]","{""cc:11"":17,""cc:7"":17,""cc:0"":17,""cc:32"":17,""pb"":276,""cc:22"":19}",{},"{""n"":276,""nonzero"":254,""positive"":0,""negative"":254,""zero"":22,""max_abs"":3712,""summary"":{""min"":-3712.0,""p01"":-3712.0,""p05"":-3200.0,""p10"":-2944.0,""p25"":-2304.0,""p50"":-1600.0,""p75"":-768.0,""p90"":-384.0,""p95"":0.0,""p99"":0.0,""max"":0.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,11,24,Nylon Gtr Pro2,5,"[[""ACC4"",5396],[""ACC3"",4679],[""ACC2"",1960],[""ACC1"",151]]","[[""Ending 1"",3101],[""Variation 4"",1806],[""Variation 3"",1790],[""Intro 1"",1531],[""Variation 2"",1170],[""Variation 1"",754],[""Ending 2"",680],[""Intro 2"",350],[""Fill 2"",330],[""Break"",221],[""Ending 3"",211],[""Fill 1"",182],[""Intro 3"",60]]","{""cc:11"":72,""cc:7"":71,""cc:0"":71,""cc:32"":71,""cc:22"":62,""cc:64"":1,""cc:8"":2,""cc:67"":2,""cc:100"":1,""cc:103"":1,""cc:6"":1,""cc:66"":1,""cc:115"":1,""cc:127"":1,""cc:110"":1,""cc:121"":1,""cc:19"":1,""cc:108"":1}","{""64"":{""n"":1,""ge64"":0,""zero"":1,""max"":0}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,3,27,Chorus Guitar,3,"[[""ACC2"",5287],[""ACC5"",1427],[""ACC3"",456]]","[[""Variation 4"",1470],[""Variation 2"",1098],[""Variation 1"",1086],[""Variation 3"",979],[""Ending 1"",977],[""Ending 2"",404],[""Intro 2"",370],[""Ending 3"",253],[""Intro 1"",241],[""Fill 1"",138],[""Fill 2"",121],[""Break"",25],[""Intro 3"",8]]","{""cc:11"":40,""cc:7"":40,""cc:0"":40,""cc:32"":37,""pb"":162,""cc:22"":36,""cc:64"":3}","{""64"":{""n"":3,""ge64"":0,""zero"":3,""max"":0}}","{""n"":162,""nonzero"":156,""positive"":124,""negative"":32,""zero"":6,""max_abs"":8191,""summary"":{""min"":-4288.0,""p01"":-4209.92,""p05"":-3207.0,""p10"":-1737.0,""p25"":383.0,""p50"":3433.0,""p75"":6248.0,""p90"":7483.0,""p95"":7829.0,""p99"":8122.68,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,0,11,Vibraphone 1 GM,7,"[[""ACC3"",2184],[""ACC2"",527],[""ACC1"",315]]","[[""Ending 1"",544],[""Variation 4"",543],[""Intro 1"",411],[""Variation 3"",397],[""Variation 2"",308],[""Ending 2"",182],[""Fill 2"",161],[""Intro 2"",123],[""Ending 3"",96],[""Variation 1"",96],[""Fill 1"",89],[""Break"",62],[""Intro 3"",14]]","{""cc:11"":73,""cc:7"":73,""cc:0"":73,""cc:32"":64,""cc:22"":73}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,4,32,Acous. Bass Pro2,2,"[[""BASS"",2383]]","[[""Intro 1"",541],[""Ending 1"",535],[""Variation 4"",472],[""Variation 3"",248],[""Variation 2"",152],[""Variation 1"",136],[""Intro 2"",71],[""Ending 2"",69],[""Fill 2"",54],[""Fill 1"",48],[""Ending 3"",33],[""Break"",19],[""Intro 3"",5]]","{""cc:11"":33,""cc:7"":33,""cc:0"":33,""cc:32"":33,""cc:22"":23,""pb"":200}",{},"{""n"":200,""nonzero"":188,""positive"":188,""negative"":0,""zero"":12,""max_abs"":5070,""summary"":{""min"":0.0,""p01"":0.0,""p05"":0.0,""p10"":130.0,""p25"":650.0,""p50"":1431.0,""p75"":2599.0,""p90"":4042.9,""p95"":4563.95,""p99"":4941.29,""max"":5070.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,11,61,Trombones,5,"[[""ACC4"",3567],[""ACC3"",873],[""ACC2"",190]]","[[""Ending 1"",789],[""Variation 4"",680],[""Variation 3"",612],[""Variation 2"",602],[""Intro 1"",371],[""Variation 1"",336],[""Ending 3"",330],[""Ending 2"",327],[""Intro 2"",283],[""Fill 1"",186],[""Fill 2"",90],[""Intro 3"",12],[""Break"",12]]","{""cc:11"":59,""cc:7"":59,""cc:0"":59,""cc:32"":53,""cc:22"":66,""pb"":32,""cc:1"":24}","{""1"":{""n"":24,""ge64"":0,""zero"":6,""max"":22}}","{""n"":32,""nonzero"":16,""positive"":0,""negative"":16,""zero"":16,""max_abs"":4096,""summary"":{""min"":-4096.0,""p01"":-4096.0,""p05"":-4096.0,""p10"":-4096.0,""p25"":-4096.0,""p50"":-2048.0,""p75"":0.0,""p90"":0.0,""p95"":0.0,""p99"":0.0,""max"":0.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,27,House Kit 2,6,"[[""DRUM"",9985],[""PERC"",8532]]","[[""Ending 1"",6390],[""Variation 4"",2674],[""Ending 2"",2451],[""Intro 1"",2244],[""Variation 3"",1274],[""Ending 3"",723],[""Variation 2"",722],[""Fill 2"",523],[""Variation 1"",522],[""Fill 1"",303],[""Intro 2"",291],[""Break"",257],[""Intro 3"",143]]","{""cc:11"":77,""cc:7"":77,""cc:0"":77,""cc:32"":77,""cc:22"":39}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,18,25,12 Strings RX,4,"[[""ACC3"",12710],[""ACC1"",3122]]","[[""Variation 1"",3664],[""Variation 4"",2716],[""Ending 1"",2224],[""Variation 3"",1746],[""Variation 2"",1533],[""Intro 1"",1239],[""Ending 2"",821],[""Fill 2"",561],[""Intro 2"",490],[""Fill 1"",347],[""Ending 3"",302],[""Break"",128],[""Intro 3"",61]]","{""cc:11"":71,""cc:7"":71,""cc:0"":71,""cc:32"":71,""cc:22"":63}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,13,HipHop Kit 2,6,"[[""PERC"",3940],[""DRUM"",3662]]","[[""Ending 1"",2536],[""Intro 1"",1568],[""Variation 4"",738],[""Ending 2"",462],[""Variation 3"",413],[""Variation 2"",388],[""Variation 1"",344],[""Fill 2"",264],[""Ending 3"",234],[""Intro 2"",229],[""Intro 3"",174],[""Fill 1"",133],[""Break"",119]]","{""cc:11"":74,""cc:7"":74,""cc:0"":74,""cc:32"":74,""cc:22"":48}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,5,50,Analog Strings 1,17,"[[""ACC5"",1480],[""ACC4"",286],[""ACC1"",28],[""ACC3"",11],[""ACC2"",7]]","[[""Ending 1"",753],[""Intro 1"",169],[""Variation 4"",155],[""Ending 2"",140],[""Ending 3"",119],[""Break"",115],[""Variation 3"",106],[""Fill 2"",85],[""Variation 1"",52],[""Variation 2"",51],[""Intro 2"",27],[""Fill 1"",26],[""Intro 3"",14]]","{""cc:11"":63,""cc:7"":63,""cc:0"":63,""cc:32"":55,""cc:22"":92}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,21,28,5th Mute Gtr,5,"[[""ACC3"",6984],[""ACC1"",1114],[""ACC2"",333]]","[[""Variation 2"",2212],[""Variation 4"",1700],[""Variation 3"",1585],[""Variation 1"",1556],[""Ending 1"",442],[""Intro 1"",305],[""Intro 2"",167],[""Ending 2"",154],[""Fill 1"",103],[""Fill 2"",92],[""Ending 3"",86],[""Break"",19],[""Intro 3"",10]]","{""cc:11"":52,""cc:7"":52,""cc:0"":52,""cc:22"":62,""cc:32"":45,""pb"":72}",{},"{""n"":72,""nonzero"":60,""positive"":0,""negative"":60,""zero"":12,""max_abs"":6144,""summary"":{""min"":-6144.0,""p01"":-6144.0,""p05"":-6144.0,""p10"":-4096.0,""p25"":-1542.5,""p50"":-1061.5,""p75"":-559.5,""p90"":0.0,""p95"":0.0,""p99"":0.0,""max"":0.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,8,89,Analog Pad 1,9,"[[""ACC3"",1405],[""ACC4"",569],[""ACC5"",495]]","[[""Variation 4"",585],[""Ending 1"",541],[""Variation 3"",457],[""Fill 2"",224],[""Intro 1"",172],[""Ending 3"",144],[""Ending 2"",131],[""Fill 1"",100],[""Break"",42],[""Variation 2"",32],[""Intro 2"",26],[""Intro 3"",15]]","{""cc:11"":56,""cc:7"":56,""cc:0"":56,""cc:32"":49,""cc:22"":108,""pb"":10}",{},"{""n"":10,""nonzero"":9,""positive"":6,""negative"":3,""zero"":1,""max_abs"":5348,""summary"":{""min"":-3993.0,""p01"":-3771.33,""p05"":-2884.65,""p10"":-1776.3,""p25"":-1005.75,""p50"":99.0,""p75"":2324.25,""p90"":4395.8,""p95"":4871.9,""p99"":5252.78,""max"":5348.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,26,House Kit 1,6,"[[""DRUM"",11280],[""PERC"",4501]]","[[""Intro 1"",3489],[""Ending 1"",3161],[""Variation 4"",1952],[""Variation 3"",1596],[""Variation 2"",1490],[""Variation 1"",1046],[""Ending 2"",950],[""Ending 3"",608],[""Intro 2"",544],[""Fill 2"",464],[""Fill 1"",190],[""Break"",176],[""Intro 3"",115]]","{""cc:11"":73,""cc:7"":73,""cc:0"":73,""cc:32"":73,""cc:22"":42}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,3,50,Analog Velve,7,"[[""ACC3"",531],[""ACC4"",437],[""ACC1"",397],[""ACC5"",364]]","[[""Ending 1"",572],[""Intro 1"",375],[""Variation 4"",184],[""Ending 2"",135],[""Variation 3"",118],[""Fill 2"",94],[""Ending 3"",74],[""Variation 2"",64],[""Fill 1"",34],[""Break"",34],[""Intro 2"",29],[""Intro 3"",16]]","{""cc:22"":96,""cc:11"":56,""cc:7"":56,""cc:0"":56,""cc:32"":56,""cc:64"":5}","{""64"":{""n"":5,""ge64"":0,""zero"":5,""max"":0}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,7,2,Grand&FM Stack,8,"[[""ACC1"",10058],[""ACC2"",926]]","[[""Variation 4"",3229],[""Variation 3"",2953],[""Variation 1"",1368],[""Variation 2"",1224],[""Ending 1"",858],[""Intro 1"",803],[""Fill 2"",312],[""Intro 2"",114],[""Ending 3"",48],[""Break"",26],[""Fill 1"",22],[""Ending 2"",15],[""Intro 3"",12]]","{""cc:11"":61,""cc:7"":62,""cc:0"":61,""cc:32"":35,""cc:22"":77,""cc:64"":11,""cc:8"":2,""cc:67"":2,""cc:100"":2,""cc:103"":1,""cc:6"":1,""cc:66"":1,""cc:115"":1,""cc:110"":1,""cc:121"":1,""cc:19"":1,""cc:97"":1,""cc:38"":1}","{""64"":{""n"":11,""ge64"":0,""zero"":11,""max"":0}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,2,81,Lead Saw Pulse,1,"[[""ACC5"",611]]","[[""Ending 1"",607],[""Ending 2"",2],[""Ending 3"",2]]","{""pb"":279,""cc:1"":34,""cc:22"":4}","{""1"":{""n"":34,""ge64"":12,""zero"":15,""max"":127}}","{""n"":279,""nonzero"":251,""positive"":172,""negative"":79,""zero"":28,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-7792.0,""p10"":-6604.0,""p25"":-370.0,""p50"":2078.0,""p75"":6246.5,""p90"":7883.0,""p95"":8091.1,""p99"":8191.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,0,48,Strings Ens.1 GM,8,"[[""ACC4"",2422],[""ACC3"",291],[""ACC2"",184],[""ACC5"",30]]","[[""Intro 1"",856],[""Ending 1"",789],[""Ending 2"",315],[""Variation 4"",242],[""Intro 2"",225],[""Variation 3"",108],[""Variation 2"",103],[""Ending 3"",96],[""Break"",73],[""Fill 2"",58],[""Fill 1"",42],[""Intro 3"",12],[""Variation 1"",8]]","{""cc:22"":66,""cc:11"":61,""cc:7"":61,""cc:0"":61,""cc:32"":60,""cc:64"":8}","{""64"":{""n"":8,""ge64"":4,""zero"":4,""max"":127}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,7,30,Solo Dist.Guitar,1,"[[""ACC5"",2489]]","[[""Intro 1"",836],[""Ending 1"",568],[""Intro 2"",293],[""Ending 2"",175],[""Ending 3"",139],[""Break"",131],[""Intro 3"",117],[""Fill 2"",77],[""Fill 1"",49],[""Variation 4"",48],[""Variation 3"",34],[""Variation 2"",22]]","{""cc:11"":12,""cc:7"":12,""cc:0"":12,""cc:32"":12,""pb"":240,""cc:64"":16,""cc:22"":7}","{""64"":{""n"":16,""ge64"":0,""zero"":16,""max"":0}}","{""n"":240,""nonzero"":235,""positive"":0,""negative"":235,""zero"":5,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-7571.0,""p10"":-6452.0,""p25"":-4609.0,""p50"":-3276.0,""p75"":-1842.25,""p90"":-439.0,""p95"":-219.0,""p99"":0.0,""max"":0.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,9,30,Dist. Guitar RX1,5,"[[""ACC1"",1708],[""ACC4"",1689],[""ACC2"",1633]]","[[""Ending 1"",1039],[""Intro 1"",1003],[""Variation 4"",640],[""Variation 3"",618],[""Variation 2"",428],[""Variation 1"",392],[""Ending 2"",356],[""Intro 2"",134],[""Ending 3"",134],[""Fill 2"",123],[""Fill 1"",84],[""Break"",55],[""Intro 3"",24]]","{""cc:11"":65,""cc:7"":65,""cc:0"":65,""cc:32"":64,""cc:22"":49}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,5,37,The Other Slap,2,"[[""BASS"",1944]]","[[""Ending 1"",711],[""Intro 1"",681],[""Intro 2"",142],[""Fill 2"",142],[""Ending 2"",110],[""Fill 1"",92],[""Ending 3"",44],[""Break"",18],[""Intro 3"",4]]","{""pb"":214,""cc:11"":20,""cc:7"":20,""cc:0"":20,""cc:32"":20,""cc:22"":12}",{},"{""n"":214,""nonzero"":206,""positive"":93,""negative"":113,""zero"":8,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-7806.44,""p05"":-5596.2,""p10"":-5306.1,""p25"":-3480.0,""p50"":-375.5,""p75"":1917.5,""p90"":3120.0,""p95"":3991.0,""p99"":5183.1,""max"":5330.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,2,28,Mute Vel. Gtr,3,"[[""ACC3"",2589],[""ACC2"",939]]","[[""Variation 2"",740],[""Variation 4"",740],[""Variation 3"",677],[""Variation 1"",442],[""Ending 1"",267],[""Intro 1"",245],[""Ending 3"",98],[""Fill 1"",88],[""Ending 2"",67],[""Fill 2"",65],[""Intro 2"",59],[""Break"",35],[""Intro 3"",5]]","{""cc:11"":35,""cc:7"":35,""cc:0"":35,""cc:32"":34,""pb"":132,""cc:1"":8,""cc:22"":23}","{""1"":{""n"":8,""ge64"":0,""zero"":4,""max"":60}}","{""n"":132,""nonzero"":102,""positive"":92,""negative"":10,""zero"":30,""max_abs"":8064,""summary"":{""min"":-7853.0,""p01"":-7853.0,""p05"":-2688.0,""p10"":0.0,""p25"":0.0,""p50"":2048.0,""p75"":4096.0,""p90"":8064.0,""p95"":8064.0,""p99"":8064.0,""max"":8064.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,0,67,Baritone Sax GM,1,"[[""ACC4"",731]]","[[""Variation 3"",236],[""Ending 2"",136],[""Ending 3"",108],[""Ending 1"",72],[""Fill 2"",60],[""Variation 2"",48],[""Intro 1"",40],[""Break"",16],[""Variation 4"",9],[""Intro 2"",2],[""Intro 3"",2],[""Fill 1"",2]]","{""cc:11"":16,""cc:7"":16,""cc:0"":16,""cc:32"":13,""pb"":234,""cc:22"":6}",{},"{""n"":234,""nonzero"":219,""positive"":97,""negative"":122,""zero"":15,""max_abs"":7680,""summary"":{""min"":-7680.0,""p01"":-7296.67,""p05"":-4352.0,""p10"":-3968.0,""p25"":-2560.0,""p50"":-257.0,""p75"":1663.0,""p90"":3327.0,""p95"":3839.0,""p99"":3968.0,""max"":3968.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
