instrument_profile_id,msb,lsb,program,sound,role,family,origin,support_grade,stability,routing,protected,eligible_defects,controller_guards,grouped_proxy_models,unknown_count
NIP-a6ee019f8bef370448f4,121,18,27,Chorus Gtr Pro,ACC3,GUITAR,FACTORY_CORPUS,STRONG,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,4
NIP-0aced618537ac96f19fc,121,18,48,Strings & Glock.,ACC3,ENSEMBLE,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP|CHORD_DESYNC,1|2|64|80|81,,6
NIP-a48550e8ae677077badc,121,18,56,Trumpet Shake Y+,ACC5,BRASS,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,4
NIP-5a584c34a1cbfda3ee2c,121,19,4,Tine E.Piano,ACC1,PIANO,FACTORY_CORPUS,STRONG,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,5
NIP-450cc7baeb30fd04b403,121,19,24,Natural Nylon DNC,MANUAL_ONLY,GUITAR,OFFICIAL_MANUAL_ONLY,NO_FACTORY_SUPPORT,NO_FACTORY_SUPPORT,PRESERVE,True,,1|2|64|80|81,,22
NIP-678727404bc89d946efd,121,19,25,Steel Guitar Pro,ACC2,GUITAR,FACTORY_CORPUS,STRONG,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,4
NIP-f548ac39d7f4d6efc785,121,19,27,Vintage S.1,ACC3,GUITAR,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-a808867a99e9cfddb97d,121,19,28,Muted Guitar 2,ACC4,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,7
NIP-1bced95f9726894ba608,121,19,56,Concert Trumpet,ACC3,BRASS,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-a8c2f32f2c0842baabad,121,20,4,Suit E.Piano 1,ACC1,PIANO,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,4
NIP-1676275e41482cb8c754,121,20,16,BX3 Jazz V.,ACC3,ORGAN,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
NIP-62b9f173719dd6e29297,121,20,25,Steel Guitar 3,ACC1,GUITAR,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-e82ddbe1451717a1cf51,121,20,27,Clean Guitar 2,ACC2,GUITAR,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-54280bbbae4a6581d824,121,20,52,Scat Voices DNC,MANUAL_ONLY,ENSEMBLE,OFFICIAL_MANUAL_ONLY,NO_FACTORY_SUPPORT,NO_FACTORY_SUPPORT,PRESERVE,True,,1|2|64|80|81,,22
NIP-49fc7019d771ab1c5210,121,20,56,Concert Trp.Pro,ACC4,BRASS,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-23584bc69df3e701cc12,121,21,4,Suit E.Piano 2,ACC1,PIANO,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,6
NIP-7ca71f57ece69530c734,121,21,16,BX3 Gospel V.,ACC1,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,8
NIP-a6dc9e057e3ee2680c99,121,21,27,Solid Guitar,ACC2,GUITAR,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,4
NIP-add03295318c7fd79464,121,21,28,5th Mute Gtr,ACC3,GUITAR,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,4
NIP-c3bc5f9a30401b167e78,121,21,56,Cornet Expr.,ACC3,BRASS,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-aad7682b898382fe0f77,121,22,4,Dyno Tine EP 2,ACC1,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,6
NIP-76862b4f7440943a297e,121,22,16,Theatre Organ 1,ACC1,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
