msb,lsb,program,kit,key,hits,styles,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,dur_center,top_positions
120,0,42,Brush Kit RX1,51,2742,18,8.0,32.0,53.0,66.0,91.0,101.0,127.0,4.0,"[[0,1538],[96,407],[132,274],[180,91],[48,74],[144,53],[24,40],[168,40]]"
120,0,66,Trinity Perc.Kit,87,2701,15,18.0,31.0,54.0,75.0,98.0,110.0,118.0,4.0,"[[0,1000],[96,992],[48,292],[120,210],[144,143],[180,17],[132,16],[36,12]]"
120,0,64,Percussion Kit,16,2696,16,35.0,40.0,57.0,64.0,74.0,79.0,100.0,48.0,"[[96,1568],[144,432],[48,334],[132,124],[108,89],[0,78],[156,39],[60,22]]"
120,0,30,House Kit RX1,42,2674,6,21.0,58.0,72.0,88.0,102.0,110.0,122.0,1.0,"[[0,1219],[96,685],[48,348],[60,263],[144,155],[168,4]]"
120,0,41,Brush Kit 2,44,2600,9,9.0,45.0,63.5,76.0,96.0,101.0,120.0,1.0,"[[0,1712],[96,875],[24,5],[60,2],[72,2],[144,2],[36,2]]"
120,0,66,Trinity Perc.Kit,92,2542,18,10.0,49.0,59.0,82.0,105.5,120.0,127.0,25.0,"[[0,1079],[96,662],[60,282],[132,186],[144,165],[48,113],[120,40],[24,8]]"
120,0,2,Standard Kit RX3,44,2510,23,1.0,63.9,75.0,96.0,105.0,118.0,127.0,44.0,"[[0,1830],[96,323],[132,131],[60,113],[48,53],[120,24],[24,16],[144,7]]"
120,0,42,Brush Kit RX1,37,2501,15,8.0,34.0,43.0,59.0,77.0,107.0,124.0,1.0,"[[0,869],[96,585],[60,431],[156,418],[144,92],[132,75],[48,28],[168,3]]"
120,0,26,House Kit 1,42,2488,5,11.0,63.0,76.0,97.0,107.25,120.0,127.0,1.0,"[[0,963],[96,730],[48,242],[144,238],[60,152],[156,109],[120,16],[180,13]]"
120,0,66,Trinity Perc.Kit,42,2481,2,37.0,84.0,84.0,90.0,90.0,90.0,125.0,16130.0,"[[0,549],[120,461],[180,296],[24,284],[144,267],[60,160],[12,120],[156,116]]"
120,0,66,Trinity Perc.Kit,19,2462,7,21.0,34.0,50.0,58.0,70.0,93.0,120.0,1.0,"[[0,917],[60,725],[96,406],[132,280],[156,127],[168,3],[180,2],[144,1]]"
120,0,42,Brush Kit RX1,42,2438,11,37.0,50.0,64.0,74.0,92.0,118.0,127.0,2.0,"[[0,1171],[132,544],[96,310],[144,96],[48,90],[36,80],[84,71],[180,67]]"
120,0,64,Percussion Kit,70,2381,29,32.0,69.0,72.0,87.0,98.0,110.0,127.0,9.0,"[[96,842],[0,712],[144,241],[132,162],[60,102],[120,99],[168,94],[156,76]]"
120,0,33,Jazz Kit RX1,44,2329,23,18.0,56.0,80.0,95.0,102.0,115.0,127.0,12.0,"[[0,1544],[96,491],[132,176],[48,25],[180,23],[144,23],[60,21],[168,8]]"
120,0,64,Percussion Kit,69,2283,25,31.0,67.2,78.0,90.0,102.0,114.0,126.0,2.0,"[[0,752],[96,688],[144,396],[132,194],[48,194],[60,24],[84,13],[12,10]]"
120,0,43,Brush Kit RX2,40,2282,9,16.0,50.0,59.0,65.0,70.0,96.0,116.0,23.0,"[[0,1770],[132,420],[96,88],[144,4]]"
120,0,125,Brush Kit 1,38,2264,9,6.0,44.3,58.0,80.0,96.0,118.7,127.0,2.0,"[[96,749],[0,646],[144,225],[48,164],[12,112],[132,109],[120,53],[168,52]]"
120,0,33,Jazz Kit RX1,51,2236,16,1.0,50.0,75.0,92.0,112.0,115.0,127.0,32.0,"[[0,1233],[132,312],[144,228],[96,210],[12,111],[156,48],[48,29],[168,16]]"
120,0,123,Analog Kit,42,2211,7,21.0,31.0,42.0,74.0,92.0,116.0,127.0,2.0,"[[0,1045],[96,904],[48,129],[144,88],[60,22],[156,21],[108,2]]"
120,0,43,Brush Kit RX2,38,2208,10,24.0,42.0,51.75,74.0,102.0,110.0,127.0,1.0,"[[0,1238],[132,500],[96,328],[60,54],[168,21],[72,18],[24,13],[156,10]]"
120,0,34,Jazz Kit RX2,35,2206,22,30.0,88.0,105.0,110.0,120.0,126.0,127.0,1.0,"[[0,1233],[96,413],[144,192],[132,171],[156,105],[60,65],[48,24],[84,2]]"
120,0,64,Percussion Kit,67,2164,30,50.0,68.3,83.0,92.0,102.0,112.0,127.0,22.0,"[[0,980],[96,662],[144,239],[48,89],[132,59],[60,32],[156,20],[12,19]]"
120,0,64,Percussion Kit,19,2140,28,37.0,71.0,75.0,93.0,103.0,111.0,127.0,23.0,"[[0,1594],[132,189],[12,128],[96,124],[60,56],[168,11],[24,9],[156,8]]"
120,0,34,Jazz Kit RX2,44,2127,32,27.0,58.0,80.0,96.0,110.0,120.0,127.0,2.0,"[[0,1549],[96,340],[156,115],[132,68],[180,18],[48,11],[168,8],[84,6]]"
