msb,lsb,program,sound,role,family,notes,styles,grade,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,key_workmin,key_center,key_workmax,special_pitch_candidates
121,12,28,Funk Stein RX1,ACC2,GUITAR,4614,8,GOOD,62.0,72.0,82.0,93.0,105.0,53.0,63.0,100.0,"[{""min"":98,""max"":105,""center"":100.61,""count"":753,""fraction"":0.1632}]"
121,17,28,Clean Guitar RX4,ACC2,GUITAR,4604,4,LIMITED,28.0,50.0,62.0,76.0,87.0,58.0,67.0,122.0,"[{""min"":97,""max"":108,""center"":101.37,""count"":1034,""fraction"":0.22459},{""min"":122,""max"":124,""center"":123.27,""count"":514,""fraction"":0.11164}]"
121,25,25,Pop SteelGtr RX2,ACC2,GUITAR,4066,3,LIMITED,55.0,65.0,81.0,93.0,100.0,55.0,63.0,104.0,"[{""min"":96,""max"":127,""center"":104.98,""count"":938,""fraction"":0.23069}]"
120,0,73,Techno Kit RX,DRUM,DRUM_KIT,3823,3,LIMITED,43.0,74.0,103.0,114.0,127.0,35.0,42.0,80.0,"[{""min"":22,""max"":24,""center"":23.12,""count"":188,""fraction"":0.04918},{""min"":80,""max"":88,""center"":82.42,""count"":538,""fraction"":0.14073}]"
121,18,4,Tine E.Piano RX,ACC1,PIANO,3424,13,STRONG,68.0,78.0,86.0,98.0,107.0,51.0,60.0,67.0,[]
121,10,0,Grand Piano RX,ACC1,PIANO,3056,6,GOOD,67.0,92.0,118.0,122.0,122.0,48.0,64.0,72.0,"[{""min"":6,""max"":11,""center"":8.33,""count"":48,""fraction"":0.01571},{""min"":97,""max"":97,""center"":97.0,""count"":32,""fraction"":0.01047},{""min"":110,""max"":116,""center"":113.33,""count"":48,""fraction"":0.01571}]"
121,16,28,Clean Guitar RX3,ACC2,GUITAR,2843,7,GOOD,29.0,43.0,64.0,78.0,87.0,53.0,60.0,100.0,"[{""min"":96,""max"":103,""center"":99.64,""count"":707,""fraction"":0.24868}]"
121,9,30,Dist. Guitar RX1,ACC1,GUITAR,2361,5,GOOD,35.0,43.0,63.0,84.0,86.0,48.0,55.0,62.0,"[{""min"":84,""max"":86,""center"":85.0,""count"":45,""fraction"":0.01906},{""min"":124,""max"":124,""center"":124.0,""count"":40,""fraction"":0.01694}]"
120,0,72,Hip Hop Kit RX,DRUM,DRUM_KIT,2097,2,FALLBACK,62.0,68.0,95.0,108.0,115.0,12.0,39.0,54.0,"[{""min"":9,""max"":23,""center"":14.69,""count"":587,""fraction"":0.27992}]"
121,7,32,Acous. Bass RX,BASS,BASS,1772,5,GOOD,73.0,81.0,87.0,96.0,103.0,31.0,36.0,45.0,[]
