msb,lsb,program,sound,role,family,rx,dnc,notes,styles,segments,grade,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,k_p10,k_p50,k_p90,dur_p10,dur_p50,dur_p90,gate_p10,gate_p50,gate_p90,special_clusters
120,0,31,House Kit RX2,PERC,DRUM_KIT,True,False,8317,7,104,GOOD,1.0,31.0,66.0,90.0,109.0,127.0,127.0,35.0,42.0,70.0,1.0,1.0,1.0,0.01,0.021,0.065,"[{""min"":0,""max"":0,""center"":0.0,""count"":251,""fraction"":0.03018},{""min"":17,""max"":22,""center"":18.56,""count"":289,""fraction"":0.03475}]"
121,15,27,Clean Gtr Pro2,ACC2,GUITAR,False,False,8250,7,123,GOOD,17.0,50.0,70.0,97.0,112.0,122.0,127.0,48.0,60.0,67.0,8.0,40.0,142.0,0.134,0.708,1.0,"[{""min"":96,""max"":103,""center"":99.27,""count"":561,""fraction"":0.068}]"
121,18,25,12 Strings RX,ACC3,GUITAR,True,False,7813,4,79,LIMITED,28.0,60.0,70.0,84.0,97.0,105.0,127.0,52.0,62.0,100.0,38.0,93.0,2504.0,0.224,0.955,3.317,"[{""min"":96,""max"":106,""center"":99.76,""count"":1403,""fraction"":0.17957},{""min"":114,""max"":126,""center"":120.53,""count"":96,""fraction"":0.01229}]"
121,11,28,Clean Funk RX2,ACC2,GUITAR,True,False,7785,12,175,STRONG,30.0,73.0,96.0,106.0,115.0,122.0,127.0,48.0,58.0,67.0,20.0,38.0,164.0,0.201,0.542,4.5,"[{""min"":97,""max"":104,""center"":101.62,""count"":589,""fraction"":0.07566}]"
120,0,26,House Kit 1,DRUM,DRUM_KIT,False,False,7740,6,82,GOOD,11.0,52.0,69.0,94.0,110.0,122.0,127.0,16.0,42.0,62.0,1.0,1.0,12.9,0.01,0.021,0.042,"[{""min"":10,""max"":24,""center"":17.6,""count"":1545,""fraction"":0.19961},{""min"":80,""max"":82,""center"":80.44,""count"":108,""fraction"":0.01395}]"
121,8,24,Nylon Gtr Pro1,ACC1,GUITAR,False,False,7596,8,109,GOOD,20.0,56.0,67.0,78.0,89.0,101.0,127.0,48.0,62.0,101.0,31.0,57.0,382.0,0.25,0.917,6.5,"[{""min"":96,""max"":105,""center"":99.86,""count"":1676,""fraction"":0.22064}]"
121,3,120,Vox Wah Chick RX,ACC4,SFX,True,False,7285,9,140,GOOD,25.0,52.0,67.0,89.0,102.0,113.0,127.0,30.0,63.0,75.0,18.0,38.0,1584.0,0.25,0.604,1.159,"[{""min"":30,""max"":30,""center"":30.0,""count"":1185,""fraction"":0.16266}]"
121,3,34,Stein Bass,BASS,BASS,False,False,7283,19,304,STRONG,23.0,78.0,94.0,102.0,114.0,118.0,127.0,24.0,36.0,43.0,22.0,66.0,178.0,0.22,0.812,1.0,[]
120,0,48,Orchestra Kit GM,DRUM,DRUM_KIT,False,False,7144,7,148,GOOD,2.0,47.0,68.0,88.0,106.0,119.0,127.0,36.0,40.0,76.0,9.0,22.0,50.0,0.115,0.302,0.938,"[{""min"":76,""max"":85,""center"":79.94,""count"":1069,""fraction"":0.14964}]"
121,9,24,Brazilian Guitar,ACC2,GUITAR,False,False,6746,6,107,GOOD,20.0,63.0,75.0,85.0,92.0,100.0,127.0,52.0,60.0,99.0,24.0,94.0,192.0,0.296,1.011,7.375,"[{""min"":98,""max"":108,""center"":103.19,""count"":678,""fraction"":0.1005}]"
121,3,59,Mute Ensemble 1,ACC2,BRASS,False,False,6623,11,116,STRONG,1.0,50.0,66.0,86.0,102.0,110.0,127.0,52.0,64.0,75.0,24.0,48.0,345.2,0.092,0.609,1.097,[]
121,13,27,Clean Gtr Pro1,ACC3,GUITAR,False,False,6529,8,92,GOOD,1.0,50.0,60.0,76.0,92.0,105.0,126.0,50.0,60.0,74.0,2.0,47.0,127.0,0.04,0.905,1.37,"[{""min"":96,""max"":104,""center"":99.29,""count"":363,""fraction"":0.0556}]"
121,13,61,Fat Brass,ACC4,BRASS,False,False,6518,10,131,STRONG,28.0,67.0,80.0,99.0,113.0,121.0,127.0,55.0,65.0,76.0,29.0,52.0,222.0,0.153,0.514,1.047,[]
120,0,35,Jazz Kit RX3,DRUM,DRUM_KIT,True,False,6509,5,73,GOOD,13.0,30.0,54.0,86.0,111.0,127.0,127.0,24.0,42.0,59.0,1.0,1.0,12.0,0.007,0.018,0.333,"[{""min"":13,""max"":24,""center"":21.46,""count"":1063,""fraction"":0.16331}]"
121,3,61,Glen & Friends,ACC3,BRASS,False,False,6434,6,76,GOOD,24.0,59.0,75.0,90.0,104.0,109.0,127.0,52.0,60.0,67.0,26.0,55.0,231.6,0.125,0.824,1.0,[]
121,20,27,Clean Guitar 2,ACC2,GUITAR,False,False,6317,8,108,GOOD,28.0,66.0,79.0,93.0,102.0,113.0,127.0,51.0,60.0,67.0,18.0,38.0,96.0,0.078,0.302,1.0,[]
121,13,28,Funk Stein RX2,ACC3,GUITAR,True,False,6249,9,142,GOOD,10.0,61.0,74.0,90.0,108.0,115.0,127.0,48.0,63.0,123.0,20.0,35.0,84.0,0.172,0.667,1.408,"[{""min"":101,""max"":104,""center"":102.13,""count"":459,""fraction"":0.07345},{""min"":120,""max"":127,""center"":123.42,""count"":1090,""fraction"":0.17443}]"
121,12,27,Funky Wah RX,ACC2,GUITAR,True,False,6195,7,65,GOOD,1.0,31.0,39.0,56.0,72.0,84.0,127.0,55.0,64.0,101.0,26.0,45.0,93.0,0.271,0.95,1.083,"[{""min"":84,""max"":105,""center"":97.77,""count"":1460,""fraction"":0.23567}]"
120,0,117,Arabian Kit 2,PERC,DRUM_KIT,False,False,6023,2,63,FALLBACK,14.0,54.0,72.0,84.0,96.0,105.0,127.0,36.0,57.0,84.0,15.0,39.0,74.0,0.271,0.5,1.167,"[{""min"":13,""max"":14,""center"":13.27,""count"":214,""fraction"":0.03553}]"
121,11,24,Nylon Gtr Pro2,ACC4,GUITAR,False,False,5912,5,84,GOOD,1.0,38.0,56.0,74.0,88.0,112.0,127.0,52.0,62.0,105.0,23.0,48.0,142.0,0.25,0.833,1.979,"[{""min"":96,""max"":106,""center"":101.59,""count"":1398,""fraction"":0.23647},{""min"":114,""max"":114,""center"":114.0,""count"":60,""fraction"":0.01015},{""min"":126,""max"":127,""center"":126.33,""count"":359,""fraction"":0.06072}]"
121,14,24,Nylon Slide Pro,ACC1,GUITAR,False,False,5876,9,134,GOOD,18.0,38.0,51.0,66.0,79.0,92.0,127.0,48.0,60.0,100.0,33.0,92.0,533.6,0.429,0.958,4.013,"[{""min"":96,""max"":106,""center"":101.11,""count"":603,""fraction"":0.10262},{""min"":123,""max"":126,""center"":124.5,""count"":109,""fraction"":0.01855}]"
121,4,27,Vintage S.2,ACC3,GUITAR,False,False,5683,8,123,GOOD,11.0,68.0,84.0,98.0,109.0,124.0,127.0,48.0,58.0,70.0,24.0,92.0,575.0,0.172,0.88,2.798,[]
121,4,36,SlapFing Bass RX,BASS,BASS,True,False,5573,17,230,STRONG,20.0,72.0,84.0,92.0,100.0,109.0,127.0,29.0,36.0,43.0,23.0,84.0,255.0,0.292,0.844,1.042,[]
121,14,27,Single Coil Pro,ACC2,GUITAR,False,False,5551,8,94,GOOD,25.0,74.0,87.0,98.0,110.0,115.0,127.0,48.0,60.0,72.0,28.0,55.0,182.0,0.203,0.683,1.094,"[{""min"":96,""max"":105,""center"":100.07,""count"":515,""fraction"":0.09278}]"
120,0,28,House Kit 3,PERC,DRUM_KIT,False,False,5422,7,66,GOOD,4.0,45.0,63.0,80.0,99.0,127.0,127.0,35.0,44.0,82.0,1.0,1.0,769.0,0.01,0.021,0.396,"[{""min"":4,""max"":10,""center"":8.71,""count"":270,""fraction"":0.0498},{""min"":20,""max"":20,""center"":20.0,""count"":120,""fraction"":0.02213},{""min"":82,""max"":88,""center"":83.42,""count"":667,""fraction"":0.12302},{""min"":126,""max"":126,""center"":126.0,""count"":88,""fraction"":0.01623}]"
121,15,24,Nylon Guitar 2,ACC1,GUITAR,False,False,5343,5,105,GOOD,25.0,60.0,67.0,75.0,82.0,87.0,125.0,55.0,63.0,75.0,49.0,116.0,204.0,0.266,0.797,1.031,"[{""min"":122,""max"":127,""center"":123.77,""count"":192,""fraction"":0.03593}]"
121,7,2,Grand&FM Stack,ACC1,PIANO,False,False,5337,8,70,GOOD,11.0,31.0,78.0,91.0,102.0,110.0,126.0,55.0,64.0,99.0,23.0,44.0,556.0,0.208,0.516,0.982,"[{""min"":99,""max"":105,""center"":100.93,""count"":510,""fraction"":0.09556},{""min"":120,""max"":122,""center"":120.69,""count"":96,""fraction"":0.01799}]"
121,29,25,RealFolk Gtr ST1,ACC1,GUITAR,False,False,5311,6,87,GOOD,1.0,37.0,49.0,60.0,74.0,88.0,123.0,43.0,55.0,69.0,31.0,48.0,95.0,0.333,1.0,1.171,"[{""min"":0,""max"":9,""center"":6.0,""count"":131,""fraction"":0.02467},{""min"":96,""max"":102,""center"":98.38,""count"":252,""fraction"":0.04745}]"
121,11,4,Club E. Piano,ACC2,PIANO,False,False,5296,11,160,STRONG,10.0,74.0,84.0,93.0,102.0,108.0,126.0,51.0,60.0,67.0,9.0,63.0,730.5,0.159,0.823,2.5,[]
121,2,61,Tight Brass 3,ACC4,BRASS,False,False,5146,11,134,STRONG,9.0,60.0,80.0,97.0,114.0,123.0,127.0,54.0,67.0,79.0,24.0,50.0,248.0,0.129,0.654,1.167,[]
121,10,25,Mandolin Key Off,ACC4,GUITAR,False,False,5035,3,60,LIMITED,15.0,63.0,75.0,93.0,104.0,104.0,118.0,62.0,72.0,76.0,6.0,20.0,30.0,0.135,0.958,3.5,"[{""min"":43,""max"":48,""center"":46.97,""count"":235,""fraction"":0.04667}]"
121,0,12,Marimba GM,ACC5,CHROMATIC_PERC,False,False,4999,7,90,GOOD,16.0,73.0,87.0,95.0,105.0,110.0,127.0,51.0,60.0,68.0,22.0,32.0,896.6,0.177,0.844,1.92,[]
121,4,4,Vintage EP,ACC1,PIANO,False,False,4938,13,138,STRONG,4.0,52.0,65.0,76.0,91.0,105.0,127.0,53.0,61.0,69.0,15.0,111.0,1246.0,0.118,0.74,1.607,[]
121,7,33,Finger Bass 3,BASS,BASS,False,False,4868,20,263,STRONG,24.0,94.0,100.0,103.0,110.0,115.0,127.0,28.0,36.0,101.0,22.0,84.0,192.0,0.25,0.757,0.99,"[{""min"":100,""max"":124,""center"":102.6,""count"":1602,""fraction"":0.32909}]"
121,2,21,Akordeon,ACC2,ORGAN,False,False,4866,4,104,LIMITED,2.0,74.0,87.0,104.0,110.0,120.0,126.0,55.0,64.0,72.0,23.0,45.0,77.0,0.151,0.438,0.817,[]
121,2,26,Club Jazz Gtr 1,ACC2,GUITAR,False,False,4863,7,97,GOOD,32.0,66.0,79.0,90.0,96.0,106.0,126.0,55.0,62.0,72.0,26.0,48.0,216.0,0.124,0.382,1.061,[]
121,6,49,Movie Strings 2,ACC4,ENSEMBLE,False,False,4835,21,260,STRONG,10.0,47.0,53.0,76.0,95.0,106.0,127.0,53.0,64.0,79.0,57.0,377.0,989.1,0.594,0.997,1.995,[]
120,0,6,Standard Kit RX4,DRUM,DRUM_KIT,True,False,4776,6,64,GOOD,1.0,36.0,56.0,80.0,101.0,120.0,127.0,35.0,42.0,70.0,1.0,14.0,34.0,0.017,0.116,0.511,"[{""min"":20,""max"":20,""center"":20.0,""count"":152,""fraction"":0.03183},{""min"":126,""max"":126,""center"":126.0,""count"":174,""fraction"":0.03643}]"
121,13,33,Finger Bass RX,BASS,BASS,True,False,4774,10,140,STRONG,16.0,76.0,86.0,90.0,96.0,102.0,127.0,31.0,36.0,100.0,23.0,62.0,194.0,0.18,0.734,1.01,"[{""min"":97,""max"":101,""center"":99.84,""count"":829,""fraction"":0.17365},{""min"":110,""max"":116,""center"":113.19,""count"":54,""fraction"":0.01131}]"
121,12,28,Funk Stein RX1,ACC2,GUITAR,True,False,4614,8,70,GOOD,1.0,62.0,72.0,82.0,93.0,105.0,127.0,53.0,63.0,100.0,12.0,28.0,86.0,0.118,0.5,1.0,"[{""min"":98,""max"":105,""center"":100.61,""count"":753,""fraction"":0.1632}]"
121,17,28,Clean Guitar RX4,ACC2,GUITAR,True,False,4604,4,70,LIMITED,3.0,28.0,50.0,62.0,76.0,87.0,125.0,58.0,67.0,122.0,34.0,46.0,64.0,0.446,0.929,1.091,"[{""min"":97,""max"":108,""center"":101.37,""count"":1034,""fraction"":0.22459},{""min"":122,""max"":124,""center"":123.27,""count"":514,""fraction"":0.11164}]"
121,0,32,Acoustic Bass GM,BASS,BASS,False,False,4493,17,268,STRONG,17.0,74.0,84.0,99.0,109.0,116.0,127.0,31.0,36.0,43.0,34.0,118.0,456.0,0.438,0.785,0.995,[]
121,3,48,Stereo Strings,ACC3,ENSEMBLE,False,False,4443,26,315,STRONG,4.0,49.0,64.0,89.0,104.0,114.0,127.0,43.0,65.0,77.0,28.0,120.0,1531.5,0.146,0.75,1.125,[]
121,18,27,Chorus Gtr Pro,ACC3,GUITAR,False,False,4356,12,98,STRONG,1.0,48.0,67.0,96.5,118.0,122.0,126.0,48.0,60.0,67.0,2.0,49.0,719.0,0.021,0.964,2.905,"[{""min"":98,""max"":104,""center"":101.53,""count"":129,""fraction"":0.02961}]"
120,0,11,Techno Kit 1,DRUM,DRUM_KIT,False,False,4338,4,47,LIMITED,20.0,55.0,66.5,84.0,108.0,115.0,127.0,36.0,44.0,70.0,1.0,1.0,44.0,0.017,0.083,0.957,"[{""min"":10,""max"":10,""center"":10.0,""count"":87,""fraction"":0.02006},{""min"":28,""max"":28,""center"":28.0,""count"":195,""fraction"":0.04495},{""min"":78,""max"":82,""center"":81.44,""count"":107,""fraction"":0.02467}]"
120,0,15,Techno Kit 3,PERC,DRUM_KIT,False,False,4271,3,47,LIMITED,1.0,52.0,62.0,84.0,104.0,126.0,127.0,18.0,54.0,81.0,1.0,1.0,1.0,0.01,0.017,0.028,"[{""min"":9,""max"":24,""center"":18.35,""count"":813,""fraction"":0.19035},{""min"":80,""max"":82,""center"":81.08,""count"":800,""fraction"":0.18731}]"
120,0,0,Standard Kit GM,DRUM,DRUM_KIT,False,False,4216,6,85,GOOD,13.0,55.0,81.0,88.0,107.0,116.0,127.0,35.0,44.0,80.0,1.0,8.0,48.0,0.021,0.083,0.833,"[{""min"":2,""max"":13,""center"":7.53,""count"":123,""fraction"":0.02917},{""min"":24,""max"":25,""center"":24.49,""count"":83,""fraction"":0.01969},{""min"":80,""max"":81,""center"":80.13,""count"":438,""fraction"":0.10389}]"
121,2,50,Analog Strings 2,ACC3,ENSEMBLE,False,False,4195,34,276,STRONG,1.0,50.0,64.0,76.0,91.0,102.0,127.0,50.0,60.0,97.0,17.0,335.0,1536.0,0.479,0.997,1.979,"[{""min"":96,""max"":104,""center"":100.19,""count"":478,""fraction"":0.11395}]"
